FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,year,week,Timeline
Heung-Min,Son,MID,TOT,7200000,5,174,5.1,7.08333333333333e-07,2.41666666666667e-05,0,1013071,2,18,0,0,0,14,0,24.2,0,-3,0,174,3,0,0,0,13,0,10,0,9,11.0,1431312,0,244,0,4,2063,0,0,0,512,Hull City,,,,,2016,37,Y16W37
Pape,Souare,DEF,CRY,4100000,0,6,2.0,4.878048780487799e-07,1.46341463414634e-06,0,54103,0,3,0,0,0,0,0,1.5,0,-4,0,6,4,0,0,0,0,0,0,0,0,0.2,20773,0,354,0,0,270,0,0,0,37,Man Utd,,,,,2016,37,Y16W37
Julian,Speroni,GLK,CRY,4300000,0,0,0.0,0.0,0.0,0,7439,0,0,0,0,0,0,0,0.0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,1309,0,13,0,0,0,0,0,0,0,Man Utd,,,,,2016,37,Y16W37
Raphael,Spiegel,GLK,WHU,4000000,0,0,0.0,0.0,0.0,0,3967,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,9302,0,0,0,0,0,0,0,0,0,Burnley,,,,,2016,37,Y16W37
Junior,Stanislas,MID,BOU,4600000,9,107,5.1,1.10869565217391e-06,2.32608695652174e-05,0,294179,1,29,0,0,0,7,0,23.3,0,-9,0,107,9,0,0,0,13,0,4,0,6,1.3,335334,0,217,0,1,1467,0,0,0,372,Leicester,,,,,2016,37,Y16W37
Maarten,Stekelenburg,GLK,EVE,4700000,0,68,3.6,7.65957446808511e-07,1.4468085106382998e-05,0,218459,2,24,0,43,0,0,0,14.5,0,-3,0,68,3,0,0,0,3,0,4,0,0,1.7,206572,1,151,2,1,1683,0,0,0,309,Arsenal,,,,,2016,37,Y16W37
Jack,Stephens,DEF,SOU,4200000,1,60,0.540540540540541,1.28700128700129e-07,1.42857142857143e-05,0,36940,1,24,0,0,0,0,0,14.3,0,2,0,60,-2,0,0,0,10,0,6,0,1,5.2,250492,0,0,0,0,1471,0,0,0,341,Stoke,,,,,2016,37,Y16W37
Raheem,Sterling,MID,MCI,7500000,0,149,4.5,6e-07,1.9866666666666698e-05,0,1889628,7,27,0,0,0,7,0,19.9,0,-5,0,149,5,0,0,0,11,0,9,0,14,10.6,2147455,0,400,0,2,2509,0,0,0,468,Watford,,,,,2016,37,Y16W37
,Steve Cook,DEF,BOU,4800000,2,112,2.9,6.04166666666667e-07,2.3333333333333305e-05,0,158758,5,67,0,0,0,2,0,23.3,0,-2,0,112,2,0,0,0,17,0,10,0,0,3.2,252167,1,443,0,1,3420,0,0,0,777,Leicester,,,,,2016,37,Y16W37
Carl,Stewart,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,235,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,331,0,0,0,0,0,0,0,0,0,Man City,,,,,2016,37,Y16W37
Kevin,Stewart,DEF,LIV,4200000,0,4,0.03603603603603602,8.580008580008579e-09,9.52380952380952e-07,0,5665,0,0,0,0,0,0,0,1.0,0,-3,0,4,3,0,0,0,0,0,0,0,0,0.1,2968,0,69,0,0,20,0,0,0,12,Middlesbrough,,,,,2016,37,Y16W37
John,Stones,DEF,MCI,4600000,0,59,2.2,4.78260869565217e-07,1.2826086956521699e-05,0,1342211,1,29,0,0,0,0,0,12.8,0,-4,0,59,4,0,0,0,4,0,4,0,0,13.3,593898,0,336,0,0,2014,0,0,0,435,Watford,,,,,2016,37,Y16W37
Maksymilian,Stryjek,GLK,SUN,4000000,0,0,0.0,0.0,0.0,0,2922,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4485,0,0,0,0,0,0,0,0,0,Chelsea,,,,,2016,37,Y16W37
Cristhian,Stuani,FWD,MID,4600000,0,54,2.3,5e-07,1.17391304347826e-05,0,450227,4,15,0,0,0,4,0,11.7,0,-4,0,54,4,0,0,0,4,0,4,0,0,2.4,487812,0,0,0,1,1355,0,0,0,203,Liverpool,,,,,2016,37,Y16W37
Daniel,Sturridge,FWD,LIV,9700000,5,54,2.7,2.78350515463918e-07,5.56701030927835e-06,0,99153,1,7,0,0,0,3,0,5.6,0,-3,0,54,3,0,0,0,2,0,3,0,5,1.9,120356,0,283,0,0,775,0,0,0,180,Middlesbrough,,,,,2016,37,Y16W37
Mario,Suarez,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,7164,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,337,0,69,0,0,0,0,0,0,0,Man City,,,,,2016,37,Y16W37
Isaac,Success,MID,WAT,5700000,0,28,0.252252252252252,4.42547810968864e-08,4.91228070175439e-06,0,4695,2,9,0,0,0,1,0,4.9,0,-3,0,28,3,0,0,0,0,0,1,0,1,0.0,2391,0,0,0,0,519,0,0,0,87,Man City,,,,,2016,37,Y16W37
Andrew,Surman,MID,BOU,4600000,2,44,2.0,4.3478260869565203e-07,9.56521739130435e-06,0,9703,1,38,0,0,0,0,0,9.6,0,-4,0,44,4,0,0,0,0,0,4,0,1,0.1,2544,0,385,0,0,1800,0,0,1,288,Leicester,,,,,2016,37,Y16W37
Sam,Surridge,FWD,BOU,4500000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Leicester,,,,,2016,37,Y16W37
Franck,Tabanou,DEF,SWA,4400000,0,0,0.0,0.0,0.0,0,1617,0,0,0,0,0,0,0,0.0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.0,123,0,0,0,0,0,0,0,0,0,West Brom,,,,,2016,37,Y16W37
Dusan,Tadic,MID,SOU,6900000,2,108,3.3,4.78260869565217e-07,1.56521739130435e-05,0,285911,4,29,0,0,0,3,0,15.7,0,-6,0,108,6,0,1,0,4,0,13,0,7,2.0,163774,0,564,0,1,2411,0,0,0,376,Stoke,,,,,2016,37,Y16W37
Matt,Targett,DEF,SOU,4100000,0,12,0.108108108108108,2.636783124588e-08,2.92682926829268e-06,0,37697,0,4,0,0,0,0,0,2.9,0,-4,0,12,4,0,0,0,0,0,1,0,0,0.2,14063,0,169,0,0,373,0,0,0,80,Stoke,,,,,2016,37,Y16W37
James,Tarkowski,DEF,BUR,4000000,1,23,0.207207207207207,5.1801801801801794e-08,5.75e-06,0,83844,1,11,0,0,0,0,0,5.8,0,0,0,23,0,0,0,0,0,0,1,0,0,1.8,82824,0,0,0,0,568,0,0,0,111,West Ham,,,,,2016,37,Y16W37
Joel,Taylor,DEF,STK,4000000,0,0,0.0,0.0,0.0,0,437,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,530,0,0,0,0,0,0,0,0,0,Southampton,,,,,2016,37,Y16W37
Neil,Taylor,DEF,SWA,4100000,0,22,2.0,4.878048780487799e-07,5.365853658536589e-06,0,65601,1,26,0,0,0,0,0,5.4,0,-4,0,22,4,0,0,0,0,0,2,0,1,0.1,25730,0,321,0,0,920,0,0,0,160,West Brom,,,,,2016,37,Y16W37
Stuart,Taylor,GLK,SOU,4000000,0,0,0.0,0.0,0.0,0,2866,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4916,0,0,0,0,0,0,0,0,0,Stoke,,,,,2016,37,Y16W37
Dionatan do Nascimento,Teixeira,DEF,STK,4000000,0,0,0.0,0.0,0.0,0,33839,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3510,0,12,0,0,0,0,0,0,0,Southampton,,,,,2016,37,Y16W37
John,Terry,DEF,CHE,5200000,1,21,0.189189189189189,3.63825363825364e-08,4.03846153846154e-06,0,188863,1,9,0,0,0,1,0,4.0,0,-3,0,21,3,0,0,0,0,0,1,0,0,1.9,76770,0,228,0,0,496,0,0,0,97,Sunderland,,,,,2016,37,Y16W37
,Thomas Robson,DEF,SUN,4000000,0,0,0.0,0.0,0.0,0,5053,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5860,0,0,0,0,0,0,0,0,0,Chelsea,,,,,2016,37,Y16W37
James,Tomkins,DEF,CRY,4800000,1,75,0.675675675675676,1.40765765765766e-07,1.5625e-05,0,23106,4,36,0,0,0,3,0,15.6,0,-2,0,75,2,0,0,0,5,0,6,0,0,0.2,22035,0,221,0,2,1974,0,0,0,359,Man Utd,,,,,2016,37,Y16W37
Gokhan,Tore,MID,WHU,5300000,0,10,2.0,3.77358490566038e-07,1.88679245283019e-06,0,10995,0,4,0,0,0,0,0,1.9,0,-2,0,10,2,0,0,0,0,0,1,0,1,0.1,9048,0,0,0,0,240,0,0,0,29,Burnley,,,,,2016,37,Y16W37
,Tosin Adarabioyo,DEF,MCI,4500000,0,0,0.0,0.0,0.0,0,242,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,307,0,0,0,0,0,0,0,0,0,Watford,,,,,2016,37,Y16W37
Andros,Townsend,MID,CRY,5700000,0,116,3.2,5.6140350877193e-07,2.03508771929825e-05,0,331701,4,38,0,0,0,3,0,20.4,0,-8,0,116,8,0,0,0,16,0,7,0,7,2.2,182943,0,315,0,2,2520,0,0,0,492,Man Utd,,,,,2016,37,Y16W37
Bertrand,Traore,MID,CHE,5400000,0,0,0.0,0.0,0.0,0,2421,0,0,0,0,0,0,0,0.0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.0,245,0,101,0,0,0,0,0,0,0,Sunderland,,,,,2016,37,Y16W37
Adama,Traore,MID,MID,4800000,0,52,0.468468468468469,9.75975975975976e-08,1.08333333333333e-05,0,26708,1,22,0,0,0,0,0,10.8,0,-2,0,52,2,0,0,0,2,0,6,0,1,0.1,31023,0,0,0,0,1543,0,0,0,264,Liverpool,,,,,2016,37,Y16W37
Gerhard,Tremmel,GLK,SWA,4000000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,West Brom,,,,,2016,37,Y16W37
Kieran,Trippier,DEF,TOT,4700000,8,51,0.459459459459459,9.7757331799885e-08,1.08510638297872e-05,0,22786,1,3,0,0,0,0,0,10.9,0,-3,0,51,3,0,0,0,7,0,3,0,5,0.4,32714,0,110,0,3,568,0,0,0,202,Hull City,,,,,2016,37,Y16W37
Axel,Tuanzebe,DEF,MUN,4000000,6,14,0.126126126126126,3.15315315315315e-08,3.5000000000000016e-06,0,554,0,4,0,0,0,0,0,3.5,0,0,0,14,0,0,0,0,0,0,2,0,0,0.3,13275,0,0,0,0,303,0,0,0,69,Crystal Palace,,,,,2016,37,Y16W37
Josh,Tymon,DEF,HUL,4000000,0,9,0.0810810810810811,2.02702702702703e-08,2.25e-06,0,17952,1,8,0,0,0,0,0,2.3,0,0,0,9,0,0,0,0,0,0,1,0,0,0.3,26752,0,0,0,0,323,0,0,0,57,Tottenham,,,,,2016,37,Y16W37
Leonardo,Ulloa,FWD,LEI,5500000,0,24,0.216216216216216,3.9312039312039305e-08,4.3636363636363605e-06,0,15338,0,5,0,0,0,1,0,4.4,0,-5,0,24,5,0,0,0,1,0,2,0,0,0.1,7923,0,226,0,0,447,0,0,0,56,Bournemouth,,,,,2016,37,Y16W37
