FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
Pierre-Emile,H?jbjerg,MID,SOU,4500000,0,0,0.0,0.0,0.0,0,1754,0,0,0,0,0,0,0,0.0,1754,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,354,0,0,0,0,0,354,0,0,0,West Ham,Huddersfield,Watford,Crystal Palace,Man Utd,0.0,2017,1,Y17W1
Rob,Holding,DEF,ARS,5000000,1,1,1.0,2e-07,2e-07,0,13352,0,3,0,0,0,0,0,0.2,13352,0,0,1,0,0.2,0,1,0,0,0,0,0,2.2,4013,0,0,0,0,66,4013,0,0,18,Stoke,Liverpool,Bournemouth,Chelsea,West Brom,2.1,2017,1,Y17W1
Jose,Holebas,DEF,WAT,5000000,4,4,4.0,8e-07,8e-07,0,2078,0,3,0,0,0,0,0,0.8,2078,0,0,4,0,0.8,0,4,0,0,0,0,1,0.7,6886,0,0,0,0,90,6886,0,0,22,Bournemouth,Brighton,Southampton,Man City,Swansea,5.8,2017,1,Y17W1
Mason,Holgate,DEF,EVE,4500000,0,0,0.0,0.0,0.0,0,13139,0,0,0,0,0,0,0,0.0,13139,0,0,0,0,0.0,0,0,0,0,0,0,0,1.2,495,0,0,0,0,0,495,0,0,0,Man City,Chelsea,Tottenham,Man Utd,Bournemouth,0.0,2017,1,Y17W1
Mark,Hudson,DEF,HUD,4000000,0,0,0.0,0.0,0.0,0,4811,0,0,0,0,0,0,0,0.0,4811,0,0,0,0,0.0,0,0,0,0,0,0,0,0.4,180,0,0,0,0,0,180,0,0,0,Newcastle,Southampton,West Ham,Leicester,Burnley,0.0,2017,1,Y17W1
Will,Hughes,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,2141,0,0,0,0,0,0,0,0.0,2141,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,168,0,0,0,0,0,168,0,0,0,Bournemouth,Brighton,Southampton,Man City,Swansea,0.0,2017,1,Y17W1
Uwe,Hunemeier,DEF,BHA,4000000,0,0,0.0,0.0,0.0,0,24885,0,0,0,0,0,0,0,0.0,24885,0,0,0,0,0.0,0,0,0,0,0,0,0,6.8,10634,0,0,0,0,0,10634,0,0,0,Leicester,Watford,West Brom,Bournemouth,Newcastle,0.0,2017,1,Y17W1
Robert,Huth,DEF,LEI,5000000,0,0,0.0,0.0,0.0,0,1048,0,0,0,0,0,0,0,0.0,1048,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,102,0,0,0,0,0,102,0,0,0,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,0.0,2017,1,Y17W1
Jordon,Ibe,MID,BOU,5000000,1,1,0.33333333333333304,6.66666666666667e-08,2e-07,0,2292,0,0,0,0,0,0,0,0.2,2292,0,0,1,0,0.2,0,1,0,0,0,0,0,0.5,871,0,0,0,0,45,871,0,0,6,Watford,Man City,Arsenal,Brighton,Everton,2.8,2017,1,Y17W1
Vicente,Iborra,MID,LEI,6000000,0,0,0.0,0.0,0.0,0,2667,0,0,0,0,0,0,0,0.0,2667,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,63,0,0,0,0,0,63,0,0,0,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,0.0,2017,1,Y17W1
