FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex
Mikel,Merino,MID,NEW,5000000,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,Cardiff City,Chelsea,Man City,Arsenal,Crystal Palace,0
Max,Meyer,MID,CRY,6000000,0,0,0,0,0,0,7075,0,0,0,0,0,0,0,0,7075,0,0,0,0,0,0,0,0,0,0,0,0,0.7,303,0,0,0,0,0,303,0,0,0,Liverpool,Watford,Southampton,Huddersfield,Newcastle,0
Simon,Mignolet,GLK,LIV,5000000,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0.2,133,0,0,0,0,0,133,0,0,0,Crystal Palace,Brighton,Leicester,Tottenham,Southampton,0
Luka,Milivojevic,MID,CRY,6500000,3,3,3,4.62E-07,4.62E-07,0,27786,0,0,0,0,0,0,0,0.5,27786,0,0,3,0,0.5,0,3,0,0,1,0,0,9.1,1579,0,0,0,0,90,1579,0,0,16,Liverpool,Watford,Southampton,Huddersfield,Newcastle,5.1
James,Milner,MID,LIV,5500000,6,6,6,1.09E-06,1.09E-06,0,1642,0,0,0,0,0,0,0,1.1,1642,0,0,6,0,1.1,0,6,0,0,1,0,1,0.6,8727,0,0,0,0,90,8727,0,0,26,Crystal Palace,Brighton,Leicester,Tottenham,Southampton,10
Yerry,Mina,DEF,EVE,5500000,0,0,0,0,0,0,11089,0,0,0,0,0,0,0,0,11089,0,0,0,0,0,0,0,0,0,0,0,0,2.1,2507,0,0,0,0,0,2507,0,0,0,Southampton,Bournemouth,Huddersfield,West Ham,Arsenal,0
Tyrone,Mings,DEF,BOU,4500000,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0.2,115,0,0,0,0,0,115,0,0,0,West Ham,Everton,Chelsea,Leicester,Burnley,0
Rafa,Mir,FWD,WOL,4500000,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0.1,134,0,0,0,0,0,134,0,0,0,Leicester,Man City,West Ham,Burnley,Man Utd,0
Kevin,Mirallas,MID,EVE,5500000,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,Southampton,Bournemouth,Huddersfield,West Ham,Arsenal,0
,Miranda,DEF,WOL,4000000,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0.1,105,0,0,0,0,0,105,0,0,0,Leicester,Man City,West Ham,Burnley,Man Utd,0
